COMPANY,PNP ID,Approved on Date
2-TEL B.V,TTL,03/20/1999
21ST CENTURY ENTERTAINMENT,BUT,04/25/2002
3COM CORPORATION,TCM,11/29/1996
3D PERCEPTION,TDP,05/16/2002
3M,VSD,10/16/1998
3NOD DIGITAL TECHNOLOGY CO. LTD.,NOD,12/11/2014
A D S EXPORTS,NGS,07/16/1998
A PLUS INFO CORPORATION,API,11/29/1996
A&R CAMBRIDGE LTD.,ACG,06/13/2007
A+V LINK,APV,01/27/2010
A/VAUX ELECTRONICS,AVX,08/29/2012
AAEON TECHNOLOGY INC.,AAN,09/01/2016
AASHIMA TECHNOLOGY B.V.,TRU,05/08/1998
AAVA MOBILE OY,AAM,08/13/2013
"ABACO SYSTEMS, INC.",GEH,09/03/2010
"ABACO SYSTEMS, INC.",ABS,04/27/2016
ABBAHOME INC.,ABA,11/08/1999
ABEAM TECH LTD.,MEG,11/29/1996
ABLY-TECH CORPORATION,ATC,11/29/1996
ABOCOM SYSTEM INC.,ABC,03/28/1997
ACC MICROELECTRONICS,WTC,11/29/1996
ACCESS WORKS COMM INC,AWC,11/29/1996
ACCO UK LTD.,PKA,05/12/2003
ACCTON TECHNOLOGY CORPORATION,ACC,11/29/1996
ACCULOGIC,ACU,11/29/1996
ACCUSCENE CORPORATION LTD,ASL,06/13/2007
ACE CAD ENTERPRISE COMPANY LTD,ANT,11/29/1996
ACER INC,CHE,11/29/1996
ACER LABS,ALI,11/29/1996
ACER NETXUS INC,ANX,11/29/1996
ACER TECHNOLOGIES,ACR,11/29/1996
ACKSYS,ACK,11/29/1996
ACNHOR DATACOMM,ADC,11/29/1996
ACON,CAL,11/29/1996
ACROLINK INC,ALK,03/12/1997
ACROLOOP MOTION CONTROL SYSTEMS INC,ACM,03/26/1998
ACT LABS LTD,LAB,09/02/1997
ACTEK ENGINEERING PTY LTD,ACE,11/29/1996
ACTIONTEC ELECTRIC INC,AEI,11/29/1996
ACTIVCARD S.A,ACV,05/08/1998
ACULAB LTD,ACB,11/29/1996
ACUTEC LTD.,ALM,11/08/1999
AD ELECTRONICS,GLE,04/19/2000
AD LIB MULTIMEDIA INC,ADM,04/23/1998
ADAPTEC INC,ADP,11/29/1996
ADAX INC,ADX,11/29/1996
ADC-CENTRE,RSH,11/08/1999
