VIC,ShortName,Description,HorizontalActive,VerticalActive,VerticalHz,PixelMHz,HorizontalTotal,VerticalTotal,Native,,,,,,,,,,,
1,DMT0659,640x480p @ 59.94/60Hz ,640,480,59.94,25.175,800,525,no,,,,,,,,,,,
2,480p,720x480p @ 59.94/60Hz ,720,480,59.94,27,858,525,no,,,,,,,,,,,
3,480pH,720x480p @ 59.94/60Hz ,720,480,59.94,27,858,525,no,,,,,,,,,,,
4,720p,1280x720p @ 59.94/60Hz ,1280,720,60,74.25,1650,750,no,,,,,,,,,,,
5,1080i,1920x1080i @ 59.94/60Hz ,1920,540,60,74.25,2200,562.5,no,,,,,,,,,,,
6,480i,720(1440)x480i @ 59.94/60Hz ,1440,240,59.94,27,1716,262.5,no,,,,,,,,,,,
7,480iH,720(1440)x480i @ 59.94/60Hz ,1440,240,59.94,27,1716,262.5,no,,,,,,,,,,,
8,240p,720(1440)x240p @ 59.94/60Hz ,1440,240,59.826,27,1716,262.5,no,,,,,,,,,,,
9,240pH,720(1440)x240p @ 59.94/60Hz ,1440,240,59.826,27,1716,262.5,no,,,,,,,,,,,
10,480i4x,2880x480i @ 59.94/60Hz ,2880,240,59.94,54,3432,262.5,no,,,,,,,,,,,
11,480i4xH,2880x480i @ 59.94/60Hz ,2880,240,59.94,54,3432,262.5,no,,,,,,,,,,,
12,240p4x,2880x240p @ 59.94/60Hz ,2880,240,60,54,3432,262.5,no,,,,,,,,,,,
13,240p4xH,2880x240p @ 59.94/60Hz ,2880,240,60,54,3432,262.5,no,,,,,,,,,,,
14,480p2x,1440x480p @ 59.94/60Hz ,1440,480,59.94,54,1716,525,no,,,,,,,,,,,
15,480p2xH,1440x480p @ 59.94/60Hz ,1440,480,59.94,54,1716,525,no,,,,,,,,,,,
16,1080p,1920x1080p @ 59.94/60Hz ,1920,1080,60,148.5,2200,1125,no,,,,,,,,,,,
17,576p,720x576p @ 50Hz ,720,576,50,27,864,625,no,,,,,,,,,,,
18,576pH,720x576p @ 50Hz ,720,576,50,27,864,625,no,,,,,,,,,,,
19,720p50,1280x720p @ 50Hz,1280,720,50,74.25,1980,750,no,,,,,,,,,,,
20,1080i25,1920x1080i @ 50Hz ,1920,540,50,74.25,2640,562.5,no,,,,,,,,,,,
21,576i,720(1440)x576i @ 50Hz ,1440,288,50,27,1728,312.5,no,,,,,,,,,,,
22,576iH,720(1440)x576i @ 50Hz ,1440,288,50,27,1728,312.5,no,,,,,,,,,,,
23,288p,720(1440)x288p @ 50Hz ,1440,288,50,27,1728,313,no,,,,,,,,,,,
24,288pH,720(1440)x288p @ 50Hz ,1440,288,50,27,1728,313,no,,,,,,,,,,,
25,576i4x,2880x576i @ 50Hz,2880,288,50,54,3456,312.5,no,,,,,,,,,,,
26,576i4xH,2880x576i @ 50Hz,2880,288,50,54,3456,312.5,no,,,,,,,,,,,
27,288p4x,2880x288p @ 50Hz,2880,288,50,54,3456,313,no,,,,,,,,,,,
28,288p4xH,2880x288p @ 50Hz,2880,288,50,54,3456,313,no,,,,,,,,,,,
29,576p2x,1440x576p @ 50Hz,1440,576,50,54,1728,625,no,,,,,,,,,,,
30,576p2xH,1440x576p @ 50Hz,1440,576,50,54,1728,625,no,,,,,,,,,,,
31,1080p50,1920x1080p @ 50Hz ,1920,1080,50,148.5,2640,1125,no,,,,,,,,,,,
